CODLOCAL,cluster
015676,2
016218,2
015370,2
016242,2
016336,0
016360,0
016440,0
016505,0
016317,3
016280,3
016261,3
016275,0
015308,3
015313,0
015327,0
015346,3
016303,0
015351,3
015365,2
016256,0
015445,0
016497,0
016510,0
015389,2
015493,3
016223,2
016237,2
016299,3
017034,0
015332,0
015884,0
015921,0
016888,0
016845,0
016893,0
016954,0
016973,0
017048,0
017029,0
017128,0
017208,0
017227,0
017294,0
017251,0
017232,0
017374,0
017430,0
017473,0
017449,3
017411,0
017425,0
017543,0
016534,0
017595,3
017604,3
017618,0
017642,0
017656,3
016652,3
017736,1
017741,1
017816,3
017939,0
017920,1
017982,1
018038,0
018062,0
018081,0
018123,3
018156,1
018199,1
018316,0
018608,3
018222,0
018458,0
018651,3
018670,0
018726,3
018731,3
018547,0
018340,3
018868,3
018774,0
018514,3
018892,0
019052,1
018948,3
019146,1
019165,1
018953,1
019207,0
019306,1
019311,3
019467,0
019599,0
019561,0
019617,0
019919,3
019392,0
019641,0
019698,0
019702,0
019759,3
020183,1
020201,0
020220,0
020258,0
021045,1
020277,0
020729,0
020753,0
020767,0
020927,3
020772,0
020786,0
020606,0
021125,0
020625,0
020362,2
020357,2
020512,1
021050,1
021069,3
020673,0
020574,1
020994,1
020300,1
020833,0
020965,0
020951,0
021168,3
020908,0
021074,3
020847,0
021620,0
021880,3
021663,0
021936,3
021818,0
021615,0
021842,3
021861,0
021535,2
021253,2
021540,1
021286,1
021333,0
021347,1
021390,3
021446,0
021762,0
021984,0
021955,0
021272,1
023186,3
022889,0
022870,0
032063,0
035938,0
035858,0
030059,3
023167,0
023092,1
040280,1
040794,1
080742,0
023105,3
023110,1
023266,1
023271,1
023285,3
023313,1
023332,1
023389,1
023394,1
023799,2
023803,1
023841,1
023855,1
023902,1
023916,3
023940,1
023997,1
024044,2
023817,1
024119,1
024336,1
024355,3
024360,3
024384,1
024421,1
024464,1
025680,3
024478,1
024483,1
024510,1
024572,1
024614,1
024954,1
024973,0
024987,3
024992,3
025010,1
025524,3
025289,2
025294,1
025307,1
025312,1
025331,3
025345,1
025350,1
025369,1
025374,1
025393,3
025411,1
025425,3
025430,1
025454,1
025492,3
025500,2
025821,1
025185,0
025802,3
025152,1
025166,1
024223,1
024237,3
024261,0
024275,0
024845,1
024850,0
024893,1
025604,0
025618,0
025642,0
025675,0
024713,1
025128,1
023619,1
023657,1
023515,1
024039,1
024807,1
024529,1
023407,1
023450,1
025699,0
025703,0
025519,1
023704,1
024015,3
025557,1
027226,1
028198,1
028278,0
028283,0
027815,1
027387,1
027882,1
027453,0
027523,3
027556,0
027561,0
026646,0
026608,0
026745,0
027165,3
027306,3
028061,0
028103,0
028117,1
028122,0
026774,1
027641,0
028136,1
026627,2
028141,0
027603,0
026613,0
028773,0
028476,1
029292,0
029305,0
029485,3
029310,3
029225,3
028669,1
028419,1
028594,3
028612,1
028886,0
029447,1
028787,0
031884,0
032586,0
031737,1
031558,2
031681,1
031799,1
031780,1
031935,2
031582,1
031624,1
031638,1
031662,1
032143,1
032157,1
032195,1
032223,1
032261,3
032435,0
031841,3
032954,1
032992,0
033091,1
033251,0
033393,0
033468,0
033538,0
033543,0
033557,0
033703,3
033717,1
033345,3
033350,0
033185,1
038734,1
039192,3
039205,3
038847,0
038866,2
038951,3
039658,1
040242,0
040256,0
040261,0
040195,1
040204,1
040082,1
040096,1
039432,1
040044,1
039559,3
039465,1
038828,1
038994,0
040124,1
039578,3
039253,1
039521,3
039979,1
039984,1
038692,0
040162,1
038710,0
040505,0
041152,0
040628,2
041604,0
041345,0
041374,0
041901,0
041963,3
040987,3
041072,0
042024,1
041920,1
040402,3
040464,3
040893,0
035981,0
038084,3
036264,3
037598,0
034613,2
038116,2
034627,2
037975,2
022139,0
022219,0
022224,0
022304,3
022530,0
022691,0
022196,0
022262,0
022144,2
022506,3
022592,0
022568,0
022479,0
022182,0
022771,2
022672,0
022158,0
022238,0
022686,3
026415,1
025982,1
025977,2
025958,2
026279,0
025963,2
026095,1
029744,1
029635,1
029782,3
029739,1
029937,0
029659,1
029923,1
029857,1
029602,1
030101,0
030144,0
029980,0
030714,0
030568,3
030785,0
030479,3
031129,1
030040,0
020668,0
040077,1
040015,3
