CODLOCAL,dist_km_utm_log+1
015676,3.080209332
016218,3.185418415
015370,3.118384599
016242,3.167238863
016336,3.248352521
016360,3.266364434
016440,3.234705169
016505,3.156570426
016317,3.198870652
016280,3.170489838
016261,3.23501577
016275,3.26459792
015308,3.111473005
015313,2.784531846
015327,2.499143731
015346,2.560866405
016303,3.121074787
015351,2.655679848
015365,3.131828083
016256,3.140219944
015445,3.01469942
016497,3.179651835
016510,3.048024882
015389,3.090147802
015493,3.061521314
016223,3.153710542
016237,3.152705123
016299,3.281743298
017034,1.97053751
015332,2.889741437
015884,3.447959665
015921,3.521981632
016888,2.783162828
016845,2.780029356
016893,2.869976846
016954,3.067376754
016973,3.140162471
017048,2.245095488
017029,1.923580225
017128,3.181644625
017208,3.183906351
017227,3.615950805
017294,3.406387665
017251,3.461653017
017232,3.503255895
017374,3.609828233
017430,3.424013558
017473,3.346959861
017449,3.388870708
017411,3.221933994
017425,3.297716042
017543,3.227883529
016534,3.06750226
017595,2.769960029
017604,2.867909431
017618,2.99286281
017642,2.947548125
017656,2.86160777
016652,3.195892722
017736,0.017842669
017741,0.202970946
017816,0.607125699
017939,2.1427356
017920,0.30178179
017982,0.928036617
018038,1.809046137
018062,2.249460352
018081,1.776483551
018123,1.83241517
018156,1.109148423
018199,1.077675524
018316,2.00482897
018608,1.744672436
018222,1.966712542
018458,2.249184286
018651,2.600638185
018670,2.82632606
018726,2.736670622
018731,2.685616097
018547,1.738517803
018340,1.525442536
018868,2.280634227
018774,2.462455884
018514,2.257405443
018892,1.693159698
019052,0.068212364
018948,0.169005487
019146,0.984323197
019165,0.042273402
018953,0.741793814
019207,2.154147686
019306,0.023587999
019311,0.357046824
019467,2.153658084
019599,2.943341124
019561,2.767332073
019617,1.90883834
019919,2.875953939
019392,2.975314561
019641,3.259358475
019698,2.472523681
019702,2.435865359
019759,2.475715332
020183,1.352390896
020201,1.761416878
020220,1.812418421
020258,1.844513892
021045,1.183112628
020277,2.197888117
020729,2.026200763
020753,2.31678398
020767,1.924379025
020927,2.631350131
020772,2.521947589
020786,2.542304508
020606,2.371396549
021125,2.612186213
020625,2.289741392
020362,0.199285839
020357,0.087796699
020512,1.228085934
021050,1.025249618
021069,0.669858079
020673,1.82501765
020574,0.450306554
020994,0.044911249
020300,1.265381495
020833,1.981337982
020965,2.851548504
020951,2.664809374
021168,2.565293211
020908,2.5094786
021074,1.057638008
020847,2.452676797
021620,2.559128866
021880,2.284182282
021663,3.005710759
021936,2.248854075
021818,2.085064275
021615,2.862183138
021842,2.465934171
021861,2.304001791
021535,0.061269217
021253,0.123741413
021540,0.967627534
021286,0.930146561
021333,1.627278466
021347,0.298532014
021390,1.849218449
021446,1.991309001
021762,2.858294511
021984,2.112633257
021955,2.418255873
021272,0.578503056
023186,1.148986105
022889,2.166216373
022870,2.015489027
032063,2.517364847
035938,2.479471846
035858,2.607754424
030059,2.849294076
023167,2.356823474
023092,0.110835112
040280,1.008035684
040794,0.360823379
080742,2.345212996
023105,0.041296465
023110,0.020788678
023266,0.010326993
023271,0.114010834
023285,0.050918638
023313,0.013661136
023332,0.385266996
023389,0.026216551
023394,0.063556118
023799,0.139591721
023803,1.000694086
023841,1.23262615
023855,0.873080882
023902,0.676741269
023916,1.859520002
023940,0.601662277
023997,0.105127324
024044,0.02056941
023817,0.108869289
024119,1.144217001
024336,1.455194116
024355,1.360008793
024360,1.175342848
024384,1.464505508
024421,1.248424507
024464,1.253865693
025680,1.858170589
024478,0.333514983
024483,1.184964689
024510,1.403107803
024572,0.008963085
024614,0.978092492
024954,1.226866096
024973,1.859297383
024987,1.454475863
024992,0.002685505
025010,1.563218866
025524,0.619868838
025289,0.069644343
025294,0.267411949
025307,0.502299436
025312,0.25614179
025331,0.332697248
025345,0.572709571
025350,0.23316572
025369,0.039563471
025374,0.150806253
025393,1.24512929
025411,0.695077896
025425,0.856880158
025430,0.790051565
025454,1.242130686
025492,0.671191581
025500,0.017539023
025821,0.151420613
025185,2.208128982
025802,0.178498741
025152,1.446759841
025166,1.172290674
024223,1.449820602
024237,1.787048258
024261,1.701276336
024275,1.810149295
024845,0.561388337
024850,1.682679486
024893,0.554788457
025604,2.209901889
025618,2.339793463
025642,1.776861757
025675,2.267878022
024713,0.140983627
025128,0.067288584
023619,0.806321754
023657,0.652720325
023515,0.297928951
024039,0.572416865
024807,0.682807936
024529,1.35359275
023407,0.04258795
023450,0.088059092
025699,2.324749782
025703,1.676086529
025519,0.148508119
023704,1.260909971
024015,1.060002073
025557,0.324466218
027226,0.219877937
028198,0.039603417
028278,1.991860226
028283,2.893674217
027815,0.168451747
027387,0.000220359
027882,0.598057511
027453,2.531398498
027523,2.562886467
027556,2.418133233
027561,2.404509861
026646,2.197677896
026608,1.946348315
026745,1.759374144
027165,2.015342805
027306,1.128926805
028061,2.015516486
028103,1.912151226
028117,0.767465279
028122,1.908397409
026774,1.153618119
027641,2.561069016
028136,1.521955008
026627,1.793803936
028141,1.948168081
027603,2.515392761
026613,2.333856785
028773,2.803728279
028476,0.06762935
029292,2.456628461
029305,1.97023672
029485,2.286179361
029310,2.114156551
029225,0.041471591
028669,0.409125611
028419,0.085479898
028594,0.598443636
028612,0.147609858
028886,2.489064524
029447,1.319288111
028787,2.365531499
031884,2.012132868
032586,2.888451594
031737,0.128609885
031558,0.051540312
031681,0.181287187
031799,1.024458246
031780,0.226536039
031935,0.03611715
031582,0.789436762
031624,0.493025007
031638,1.072004504
031662,0.959867106
032143,0.94865993
032157,1.502938902
032195,1.088119689
032223,1.575273652
032261,0.935888953
032435,2.440176402
031841,0.1766808
032954,0.588700383
032992,1.936158741
033091,0.212235248
033251,3.078225562
033393,3.033603216
033468,2.476300972
033538,3.082616746
033543,3.31909751
033557,2.608712772
033703,1.360577342
033717,0.886526696
033345,3.265880278
033350,3.360366763
033185,0.098042685
038734,1.524165567
039192,1.385884997
039205,0.027809753
038847,1.701889167
038866,1.754880637
038951,2.201226956
039658,0.212463442
040242,1.628466767
040256,1.724139643
040261,1.741787213
040195,0.558123038
040204,0.103957541
040082,0.031170185
040096,0.822001572
039432,0.07905046
040044,0.668793899
039559,1.793520492
039465,0.792563694
038828,1.267856762
038994,2.266519214
040124,0.668843034
039578,0.13426336
039253,0.025683547
039521,1.79656028
039979,0.169038463
039984,0.929661919
038692,1.807836728
040162,0.942546708
038710,1.659923397
040505,1.94748029
041152,2.353873224
040628,2.092695343
041604,3.265067182
041345,3.028008086
041374,3.221424741
041901,2.492918799
041963,0.554710239
040987,2.356402427
041072,1.820404742
042024,1.068228517
041920,1.442426798
040402,2.219185341
040464,2.440655137
040893,2.127578692
035981,2.436759356
038084,0.616503757
036264,1.848164159
037598,1.951710337
034613,0.226004858
038116,0.404382958
034627,0.130425789
037975,0.331356802
022139,3.418230144
022219,3.805238447
022224,3.682827753
022304,3.417305447
022530,3.480405094
022691,3.706213795
022196,3.473419539
022262,3.37093418
022144,3.409335178
022506,3.168724686
022592,3.215887657
022568,3.214852672
022479,3.439124092
022182,3.744183975
022771,3.828251251
022672,3.811720607
022158,3.406050929
022238,3.403610092
022686,3.822776718
026415,0.518994863
025982,0.967874693
025977,0.912712457
025958,0.027964148
026279,2.20434409
025963,0.099122602
026095,1.578879558
029744,0.051690552
029635,0.040765877
029782,2.131612107
029739,0.069293726
029937,1.664305337
029659,0.205330504
029923,1.25413816
029857,1.227309687
029602,0.059585071
030101,2.59142459
030144,2.596907747
029980,2.273620155
030714,3.238723296
030568,2.870811266
030785,3.245977646
030479,3.395490263
031129,1.455088099
030040,2.253101847
020668,2.123901058
040077,0.059911562
040015,0.418916833
